Ville;Année;Libellé;Sexe;Total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
-1;0;0;M;1373;;3;1;6;24;62;167;220;431;363;93;3
-1;0;0;F;687;1;;;2;8;21;47;81;164;230;128;5
-1;0;0;T;2060;1;3;1;8;32;83;214;301;595;593;221;8
-1;0;1;M;68;16;28;4;7;2;1;3;3;3;1;;
-1;0;1;F;44;12;7;4;5;1;2;1;3;4;5;;
-1;0;1;T;112;28;35;8;12;3;3;4;6;7;6;;
-1;0;2;M;0;;;;;;;;;;;;
-1;0;2;F;0;;;;;;;;;;;;
-1;0;2;T;0;;;;;;;;;;;;
-1;0;3;M;162;3;2;2;11;6;6;18;22;46;36;10;
-1;0;3;F;173;1;;;7;7;9;16;20;38;56;19;
-1;0;3;T;335;4;2;2;18;13;15;34;42;84;92;29;
-1;0;4;M;2055;90;22;22;36;37;51;140;223;535;652;229;18
-1;0;4;F;2232;77;27;16;18;28;34;86;135;402;837;520;52
-1;0;4;T;4287;167;49;38;54;65;85;226;358;937;1489;749;70
-1;0;5;M;5057;1;;;8;16;229;1342;1339;1324;696;98;4
-1;0;5;F;538;;;1;3;9;10;81;93;117;143;75;6
-1;0;5;T;5595;1;;1;11;25;239;1423;1432;1441;839;173;10
-1;0;6;M;4818;;;;;5;134;853;1180;1557;943;137;9
-1;0;6;F;608;;;;;;9;61;79;155;203;97;4
-1;0;6;T;5426;;;;;5;143;914;1259;1712;1146;234;13
-1;0;7;M;5229;;;;2;20;86;348;768;1807;1781;403;14
-1;0;7;F;3768;;;;2;13;31;120;299;936;1537;790;40
-1;0;7;T;8997;;;;4;33;117;468;1067;2743;3318;1193;54
-1;0;8;M;4558;;;1;7;18;54;271;610;1590;1626;370;11
-1;0;8;F;5024;;;;2;17;55;249;464;1218;1976;993;50
-1;0;8;T;9582;;;1;9;35;109;520;1074;2808;3602;1363;61
-1;0;9;M;2787;1;;;2;14;31;196;391;1002;921;217;12
-1;0;9;F;2186;;;;3;7;36;111;258;593;764;382;32
-1;0;9;T;4973;1;;;5;21;67;307;649;1595;1685;599;44
-1;0;10;M;2591;1;3;2;6;22;37;257;539;985;629;107;3
-1;0;10;F;1413;;2;1;5;15;19;84;176;396;493;211;11
-1;0;10;T;4004;1;5;3;11;37;56;341;715;1381;1122;318;14
-1;0;11;M;2596;;;;3;12;62;266;488;942;664;150;9
-1;0;11;F;1976;;;;1;2;20;77;212;597;762;293;12
-1;0;11;T;4572;;;;4;14;82;343;700;1539;1426;443;21
-1;0;12;M;18741;1;1;1;10;49;481;2862;4294;6809;3745;476;12
-1;0;12;F;2047;;;;3;7;49;229;333;594;600;220;12
-1;0;12;T;20788;1;1;1;13;56;530;3091;4627;7403;4345;696;24
-1;0;13;M;307;;1;;4;25;38;49;66;72;43;9;
-1;0;13;F;349;;1;;7;20;30;37;50;93;81;27;3
-1;0;13;T;656;;2;;11;45;68;86;116;165;124;36;3
-1;0;14;M;162;;;;;;5;17;26;57;43;14;
-1;0;14;F;8427;;;2;;93;442;1288;1601;2191;1955;792;63
-1;0;14;T;8589;;;2;;93;447;1305;1627;2248;1998;806;63
-1;0;15;M;0;;;;;;;;;;;;
-1;0;15;F;820;;;;;17;77;149;168;199;163;47;
-1;0;15;T;820;;;;;17;77;149;168;199;163;47;
-1;0;16;M;0;;;;;;;;;;;;
-1;0;16;F;2936;1;;;4;14;92;324;520;843;822;295;21
-1;0;16;T;2936;1;;;4;14;92;324;520;843;822;295;21
-1;0;17;M;0;;;;;;;;;;;;
-1;0;17;F;2318;;;4;16;24;93;376;472;727;486;119;1
-1;0;17;T;2318;;;4;16;24;93;376;472;727;486;119;1
-1;0;18;M;6570;;;;3;2;7;54;374;1972;3101;1020;37
-1;0;18;F;0;;;;;;;;;;;;
-1;0;18;T;6570;;;;3;2;7;54;374;1972;3101;1020;37
-1;0;19;M;1247;1;8;7;2;10;26;129;251;422;324;64;3
-1;0;19;F;882;2;4;8;3;5;14;66;127;288;260;97;8
-1;0;19;T;2129;3;12;15;5;15;40;195;378;710;584;161;11
-1;0;20;M;2718;;;;1;1;20;161;370;949;971;236;9
-1;0;20;F;911;;;2;;1;7;20;73;218;392;189;9
-1;0;20;T;3629;;;2;1;2;27;181;443;1167;1363;425;18
-1;0;21;M;4263;8;52;148;147;194;195;401;542;1259;1081;228;8
-1;0;21;F;3626;10;33;100;76;116;124;270;382;966;1155;374;20
-1;0;21;T;7889;18;85;248;223;310;319;671;924;2225;2236;602;28
-1;0;22;M;11708;4;27;72;133;206;389;1391;2125;3621;2942;768;30
-1;0;22;F;11678;2;29;61;77;114;234;773;1320;3051;3866;2014;137
-1;0;22;T;23386;6;56;133;210;320;623;2164;3445;6672;6808;2782;167
-1;0;23;M;2085;7;21;43;39;51;91;229;381;589;496;126;12
-1;0;23;F;2105;3;12;45;21;41;67;163;244;512;631;343;23
-1;0;23;T;4190;10;33;88;60;92;158;392;625;1101;1127;469;35
-1;0;24;M;1068;20;31;15;16;21;25;64;107;264;356;142;7
-1;0;24;F;1224;19;19;19;13;15;16;42;74;200;477;309;21
-1;0;24;T;2292;39;50;34;29;36;41;106;181;464;833;451;28
-1;0;25;M;2723;1;1;2;6;27;35;149;296;888;1061;247;10
-1;0;25;F;4375;;;1;10;13;21;66;243;1067;2035;864;55
-1;0;25;T;7098;1;1;3;16;40;56;215;539;1955;3096;1111;65
-1;0;26;M;2511;61;15;39;17;24;65;177;228;514;870;443;58
-1;0;26;F;3697;32;17;30;14;11;29;71;135;479;1297;1392;190
-1;0;26;T;6208;93;32;69;31;35;94;248;363;993;2167;1835;248
-1;0;27;M;2679;;;;12;102;284;666;623;663;298;28;3
-1;0;27;F;686;;;;1;24;56;183;130;157;112;21;2
-1;0;27;T;3365;;;;13;126;340;849;753;820;410;49;5
-1;0;28;M;25;;;;6;3;1;4;5;1;5;;
-1;0;28;F;8;;;;1;1;;2;2;1;1;;
-1;0;28;T;33;;;;7;4;1;6;7;2;6;;
-1;0;29;M;1140;;1;6;7;14;14;23;25;239;543;247;21
-1;0;29;F;2613;;1;1;3;8;14;33;36;326;1181;939;71
-1;0;29;T;3753;;2;7;10;22;28;56;61;565;1724;1186;92
-1;0;30;M;292;40;14;9;16;11;19;31;43;61;41;7;
-1;0;30;F;183;37;8;6;5;5;5;9;21;34;37;16;
-1;0;30;T;475;77;22;15;21;16;24;40;64;95;78;23;
-1;0;31;M;5724;50;61;64;172;123;166;318;469;1477;2098;694;32
-1;0;31;F;6626;46;28;53;71;70;87;211;337;1112;2653;1805;153
-1;0;31;T;12350;96;89;117;243;193;253;529;806;2589;4751;2499;185
-1;0;32;M;27976;;5;2;17;114;599;2495;4155;9516;8872;2111;90
-1;0;32;F;21291;;;;6;13;77;309;936;4812;9892;4928;318
-1;0;32;T;49267;;5;2;23;127;676;2804;5091;14328;18764;7039;408
-1;0;33;M;22852;41;20;23;81;153;334;1040;1747;5309;9151;4557;396
-1;0;33;F;31255;34;17;17;25;62;84;317;728;3648;12309;12325;1689
-1;0;33;T;54107;75;37;40;106;215;418;1357;2475;8957;21460;16882;2085
-1;0;34;M;28239;19;5;16;52;173;329;1197;2205;7331;11863;4763;286
-1;0;34;F;37876;9;5;16;32;91;169;609;1160;5594;16541;12506;1144
-1;0;34;T;66115;28;10;32;84;264;498;1806;3365;12925;28404;17269;1430
-1;0;35;M;14471;7;5;9;44;98;235;800;1568;4109;5446;2015;135
-1;0;35;F;16582;4;1;5;30;73;128;395;752;2826;6751;5124;493
-1;0;35;T;31053;11;6;14;74;171;363;1195;2320;6935;12197;7139;628
-1;0;36;M;346;4;2;2;3;2;9;10;17;59;124;102;12
-1;0;36;F;715;1;;2;4;5;1;5;13;61;229;329;65
-1;0;36;T;1061;5;2;4;7;7;10;15;30;120;353;431;77
-1;0;37;M;2374;25;7;13;15;16;44;97;135;424;957;580;61
-1;0;37;F;2754;17;10;9;5;10;8;34;54;230;983;1206;188
-1;0;37;T;5128;42;17;22;20;26;52;131;189;654;1940;1786;249
-1;0;38;M;651;4;3;;3;14;14;49;83;199;231;45;6
-1;0;38;F;847;3;1;3;12;12;17;47;77;172;329;164;10
-1;0;38;T;1498;7;4;3;15;26;31;96;160;371;560;209;16
-1;0;39;M;6602;6;1;4;7;14;47;246;544;1787;2826;1054;66
-1;0;39;F;3088;4;3;1;9;12;14;53;142;501;1170;1032;147
-1;0;39;T;9690;10;4;5;16;26;61;299;686;2288;3996;2086;213
-1;0;40;M;8019;57;15;19;48;59;105;433;776;2037;3010;1327;133
-1;0;40;F;6327;43;25;16;12;35;33;92;174;763;2284;2489;361
-1;0;40;T;14346;100;40;35;60;94;138;525;950;2800;5294;3816;494
-1;0;41;M;1358;;;;3;13;41;136;155;398;458;149;5
