Ville;Annee;Libelle;Sexe;Total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
0;0;0;M;66;;;;;1;2;14;11;19;15;4;
0;0;0;F;34;1;;;;;;4;5;5;12;7;
0;0;0;T;100;1;;;;1;2;18;16;24;27;11;
0;0;1;M;3;;1;;1;;;;1;;;;
0;0;1;F;1;;1;;;;;;;;;;
0;0;1;T;4;;2;;1;;;;1;;;;
0;0;2;M;0;;;;;;;;;;;;
0;0;2;F;0;;;;;;;;;;;;
0;0;2;T;0;;;;;;;;;;;;
0;0;3;M;8;;;;2;;;1;2;1;1;1;
0;0;3;F;12;;;;1;1;;2;1;5;;2;
0;0;3;T;20;;;;3;1;;3;3;6;1;3;
0;0;4;M;103;3;1;;;5;;14;12;30;26;12;
0;0;4;F;132;5;2;;;1;3;3;8;33;45;29;3
0;0;4;T;235;8;3;;;6;3;17;20;63;71;41;3
0;0;5;M;229;;;;;;8;61;63;60;32;5;
0;0;5;F;45;;;;;1;1;10;8;8;8;9;
0;0;5;T;274;;;;;1;9;71;71;68;40;14;
0;0;6;M;155;;;;;;4;29;39;49;27;7;
0;0;6;F;38;;;;;;2;6;9;9;8;4;
0;0;6;T;193;;;;;;6;35;48;58;35;11;
0;0;7;M;195;;;;;;2;12;35;49;80;17;
0;0;7;F;199;;;;;2;1;2;12;53;74;52;3
0;0;7;T;394;;;;;2;3;14;47;102;154;69;3
0;0;8;M;224;;;;;4;3;13;28;70;78;27;1
0;0;8;F;293;;;;;;3;9;29;70;119;62;1
0;0;8;T;517;;;;;4;6;22;57;140;197;89;2
0;0;9;M;102;1;;;;1;1;11;9;30;31;17;1
0;0;9;F;158;;;;;;2;3;10;43;60;32;8
0;0;9;T;260;1;;;;1;3;14;19;73;91;49;9
0;0;10;M;117;;1;;;4;1;9;27;38;33;4;
0;0;10;F;73;;;;;1;;6;10;26;23;6;1
0;0;10;T;190;;1;;;5;1;15;37;64;56;10;1
0;0;11;M;125;;;;;1;1;11;19;54;31;8;
0;0;11;F;93;;;;;;1;5;8;36;34;9;
0;0;11;T;218;;;;;1;2;16;27;90;65;17;
0;0;12;M;886;;;;;1;22;118;200;314;196;33;2
0;0;12;F;183;;;;;;4;12;25;61;63;18;
0;0;12;T;1069;;;;;1;26;130;225;375;259;51;2
0;0;13;M;18;;;;;1;2;5;6;1;3;;
0;0;13;F;20;;1;;;5;2;1;1;5;3;1;1
0;0;13;T;38;;1;;;6;4;6;7;6;6;1;1
0;0;14;M;10;;;;;;;1;1;4;2;2;
0;0;14;F;504;;;;;1;20;55;91;142;134;58;3
0;0;14;T;514;;;;;1;20;56;92;146;136;60;3
0;0;15;M;0;;;;;;;;;;;;
0;0;15;F;37;;;;;;3;6;4;14;9;1;
0;0;15;T;37;;;;;;3;6;4;14;9;1;
0;0;16;M;0;;;;;;;;;;;;
0;0;16;F;181;;;;;1;7;13;28;57;50;24;1
0;0;16;T;181;;;;;1;7;13;28;57;50;24;1
0;0;17;M;0;;;;;;;;;;;;
0;0;17;F;117;;;;;;6;18;26;40;22;5;
0;0;17;T;117;;;;;;6;18;26;40;22;5;
0;0;18;M;318;;;;;;;5;15;89;148;59;2
0;0;18;F;0;;;;;;;;;;;;
0;0;18;T;318;;;;;;;5;15;89;148;59;2
0;0;19;M;56;;;1;;;;3;6;26;17;3;
0;0;19;F;39;;1;;;;;3;8;8;15;4;
0;0;19;T;95;;1;1;;;;6;14;34;32;7;
0;0;20;M;145;;;;;;2;6;20;47;53;17;
0;0;20;F;55;;;;;;;;8;10;21;15;1
0;0;20;T;200;;;;;;2;6;28;57;74;32;1
0;0;21;M;183;;;7;5;14;9;10;24;47;48;19;
0;0;21;F;184;;2;2;1;4;3;12;21;53;55;31;
0;0;21;T;367;;2;9;6;18;12;22;45;100;103;50;
0;0;22;M;579;;;1;3;12;23;55;97;177;167;44;
0;0;22;F;637;;2;;2;4;2;47;61;161;226;121;11
0;0;22;T;1216;;2;1;5;16;25;102;158;338;393;165;11
0;0;23;M;129;1;;2;;;5;18;27;32;33;9;2
0;0;23;F;134;;3;;1;1;6;13;18;28;41;23;
0;0;23;T;263;1;3;2;1;1;11;31;45;60;74;32;2
0;0;24;M;50;3;1;;;;2;3;4;12;16;9;
0;0;24;F;60;;;;;;;1;2;15;17;24;1
0;0;24;T;110;3;1;;;;2;4;6;27;33;33;1
0;0;25;M;93;;;;1;2;;7;7;25;40;11;
0;0;25;F;115;;;;1;2;;;5;31;53;22;1
0;0;25;T;208;;;;2;4;;7;12;56;93;33;1
0;0;26;M;101;2;;;2;;1;14;5;18;31;25;3
0;0;26;F;194;;;1;1;;1;3;8;27;75;62;16
0;0;26;T;295;2;;1;3;;2;17;13;45;106;87;19
0;0;27;M;43;;;;;;3;7;19;10;3;1;
0;0;27;F;25;;;;;;;7;2;7;5;4;
0;0;27;T;68;;;;;;3;14;21;17;8;5;
0;0;28;M;1;;;;1;;;;;;;;
0;0;28;F;0;;;;;;;;;;;;
0;0;28;T;1;;;;1;;;;;;;;
0;0;29;M;50;;;;2;;1;;;4;27;14;2
0;0;29;F;116;;;;;;;3;1;17;50;41;4
0;0;29;T;166;;;;2;;1;3;1;21;77;55;6
0;0;30;M;11;;;1;;1;;2;3;2;2;;
0;0;30;F;13;2;1;;;2;;;1;2;5;;
0;0;30;T;24;2;1;1;;3;;2;4;4;7;;
0;0;31;M;231;1;;;6;3;6;7;28;67;78;34;1
0;0;31;F;288;1;;2;2;2;5;8;21;60;102;78;7
0;0;31;T;519;2;;2;8;5;11;15;49;127;180;112;8
0;0;32;M;1189;;;;1;5;19;96;160;389;412;100;7
0;0;32;F;924;;;;;;4;13;27;159;406;287;28
0;0;32;T;2113;;;;1;5;23;109;187;548;818;387;35
0;0;33;M;922;3;1;2;3;4;20;48;75;205;346;191;24
0;0;33;F;1358;4;;;1;4;3;17;32;138;516;541;102
0;0;33;T;2280;7;1;2;4;8;23;65;107;343;862;732;126
0;0;34;M;923;;;1;1;8;7;41;63;227;372;190;13
0;0;34;F;1415;1;;;;7;4;23;38;217;577;487;61
0;0;34;T;2338;1;;1;1;15;11;64;101;444;949;677;74
0;0;35;M;552;;;;2;6;15;34;54;137;216;81;7
0;0;35;F;757;;;;1;4;8;12;34;138;309;229;22
0;0;35;T;1309;;;;3;10;23;46;88;275;525;310;29
0;0;36;M;15;;;;1;;;;;2;9;3;
0;0;36;F;19;;;;;1;;;;2;2;12;2
0;0;36;T;34;;;;1;1;;;;4;11;15;2
0;0;37;M;90;1;;;;1;1;1;7;15;31;27;6
0;0;37;F;140;;1;;;;;1;3;12;43;65;15
0;0;37;T;230;1;1;;;1;1;2;10;27;74;92;21
0;0;38;M;32;;1;;;;2;2;3;7;16;1;
0;0;38;F;38;;;;;;;;5;5;21;6;1
0;0;38;T;70;;1;;;;2;2;8;12;37;7;1
0;0;39;M;249;;;;;1;1;7;16;51;127;46;
0;0;39;F;162;;;;;;;1;7;25;62;57;10
0;0;39;T;411;;;;;1;1;8;23;76;189;103;10
0;0;40;M;278;3;;1;;2;5;12;18;64;101;62;10
0;0;40;F;308;1;1;1;;2;;3;4;35;123;114;24
0;0;40;T;586;4;1;2;;4;5;15;22;99;224;176;34
0;0;41;M;57;;;;;;1;3;3;15;24;11;
0;0;41;F;45;;;;;;;1;3;8;27;5;1
0;0;41;T;102;;;;;;1;4;6;23;51;16;1
0;0;42;M;350;;1;;2;2;19;80;109;100;34;3;
0;0;42;F;264;;;;;7;15;63;62;67;44;6;
0;0;42;T;614;;1;;2;9;34;143;171;167;78;9;
0;0;43;M;320;;;;;8;17;28;39;63;111;49;5
0;0;43;F;461;1;;;;5;4;17;20;80;176;144;14
0;0;43;T;781;1;;;;13;21;45;59;143;287;193;19
0;0;44;M;30;;1;;;;;;2;3;18;6;
0;0;44;F;68;;;;;1;;1;1;9;21;33;2
0;0;44;T;98;;1;;;1;;1;3;12;39;39;2
0;0;45;M;6;;;;;;;;;;4;2;
0;0;45;F;28;;;;1;1;;;1;6;11;8;
0;0;45;T;34;;;;1;1;;;1;6;15;10;
0;0;46;M;12;;;;;;;;1;1;8;2;
0;0;46;F;38;;;;;;;1;2;6;14;14;1
0;0;46;T;50;;;;;;;1;3;7;22;16;1
0;0;47;M;138;1;1;1;;;1;3;11;24;63;29;4
0;0;47;F;143;;;;1;;;;7;12;61;55;7
0;0;47;T;281;1;1;1;1;;1;3;18;36;124;84;11
0;0;48;M;90;;;;;;;;1;10;46;30;3
0;0;48;F;41;;;;;;;;2;4;15;19;1
0;0;48;T;131;;;;;;;;3;14;61;49;4
0;0;49;M;0;;;;;;;;;;;;
0;0;49;F;4;;;;2;1;1;;;;;;
0;0;49;T;4;;;;2;1;1;;;;;;
0;0;50;M;38;38;;;;;;;;;;;
0;0;50;F;31;30;;1;;;;;;;;;
0;0;50;T;69;68;;1;;;;;;;;;
0;0;51;M;6;4;2;;;;;;;;;;
0;0;51;F;4;2;;1;;1;;;;;;;
0;0;51;T;10;6;2;1;;1;;;;;;;
0;0;52;M;19;13;1;1;;;;;4;;;;
0;0;52;F;20;13;2;;;;1;1;;1;1;1;
0;0;52;T;39;26;3;1;;;1;1;4;1;1;1;
0;0;53;M;17;10;2;1;;1;;1;;;2;;
0;0;53;F;12;11;;;;;1;;;;;;
0;0;53;T;29;21;2;1;;1;1;1;;;2;;
0;0;54;M;11;11;;;;;;;;;;;
0;0;54;F;7;7;;;;;;;;;;;
0;0;54;T;18;18;;;;;;;;;;;
0;0;55;M;978;29;3;3;66;137;121;136;137;176;119;45;6
0;0;55;F;764;30;7;1;27;62;41;59;71;124;205;126;11
0;0;55;T;1742;59;10;4;93;199;162;195;208;300;324;171;17
0;0;56;M;238;;;;2;6;4;7;8;35;72;88;16
0;0;56;F;444;;;;;2;;5;6;32;141;203;55
0;0;56;T;682;;;;2;8;4;12;14;67;213;291;71
0;0;57;M;162;;1;5;28;26;24;23;20;19;13;3;
0;0;57;F;98;;;2;19;9;5;15;11;11;19;7;
0;0;57;T;260;;1;7;47;35;29;38;31;30;32;10;
0;0;58;M;141;;;2;;3;;8;12;25;47;39;5
0;0;58;F;385;1;1;;;4;;2;5;20;111;194;47
0;0;58;T;526;1;1;2;;7;;10;17;45;158;233;52
0;0;59;M;10;;1;;1;;2;;;3;3;;
0;0;59;F;8;;;;1;2;;2;;2;;1;
0;0;59;T;18;;1;;2;2;2;2;;5;3;1;
0;0;60;M;230;10;6;3;19;19;23;30;27;41;32;19;1
0;0;60;F;174;10;;1;4;5;4;16;15;31;57;28;3
0;0;60;T;404;20;6;4;23;24;27;46;42;72;89;47;4
0;0;61;M;163;;;;20;47;22;21;20;17;11;5;
0;0;61;F;98;;;;8;26;15;10;9;12;13;3;2
0;0;61;T;261;;;;28;73;37;31;29;29;24;8;2
0;0;62;M;25;;;1;3;5;3;3;4;1;4;1;
0;0;62;F;4;1;;;;;1;;1;;1;;
0;0;62;T;29;1;;1;3;5;4;3;5;1;5;1;
0;0;63;M;62;;;3;3;17;11;11;4;2;5;6;
0;0;63;F;37;;2;1;4;6;3;6;5;4;5;1;
0;0;63;T;99;;2;4;7;23;14;17;9;6;10;7;
0;0;64;M;18;;;;;;1;3;2;4;6;2;
0;0;64;F;24;;;;;1;;1;3;4;9;6;
0;0;64;T;42;;;;;1;1;4;5;8;15;8;
1;0;0;M;6;;*;;;;;1;;2;2;1;
1;0;0;F;2;;*;*;;;;;1;;1;;
1;0;0;T;8;;*;;;;;1;1;2;3;1;
1;0;1;M;0;;*;;;;;;;;;;
1;0;1;F;1;;*;*;1;;;;;;;;
1;0;1;T;1;;*;;1;;;;;;;;
1;0;2;M;0;;*;;;;;;;;;;
1;0;2;F;0;;*;*;;;;;;;;;
1;0;2;T;0;;*;;;;;;;;;;
1;0;3;M;2;;*;;1;;;;;1;;;
1;0;3;F;1;;*;*;;;;;;;;1;
1;0;3;T;3;;*;;1;;;;;1;;1;
1;0;4;M;11;;*;;;;1;;1;3;2;3;1
1;0;4;F;15;;*;*;;1;;1;2;4;2;5;
1;0;4;T;26;;*;;;1;1;1;3;7;4;8;1
1;0;5;M;17;;*;;;;;3;3;6;3;2;
1;0;5;F;8;;*;*;;;;1;3;1;3;;
1;0;5;T;25;;*;;;;;4;6;7;6;2;
1;0;6;M;16;;*;;;;;2;3;3;3;5;
1;0;6;F;3;;*;*;;;;1;;1;1;;
1;0;6;T;19;;*;;;;;3;3;4;4;5;
1;0;7;M;26;;*;;;;;1;1;9;11;4;
1;0;7;F;29;;*;*;;;;1;1;9;12;6;
1;0;7;T;55;;*;;;;;2;2;18;23;10;
1;0;8;M;37;;*;;1;;;3;4;8;18;3;
1;0;8;F;38;;*;*;;;1;;2;9;19;6;1
1;0;8;T;75;;*;;1;;1;3;6;17;37;9;1
1;0;9;M;17;;*;;;;;3;4;3;5;2;
1;0;9;F;20;;*;*;;;;1;2;6;8;2;1
1;0;9;T;37;;*;;;;;4;6;9;13;4;1
1;0;10;M;20;;*;;;;;;3;12;4;1;
1;0;10;F;12;;*;*;;;;;;4;4;4;
1;0;10;T;32;;*;;;;;;3;16;8;5;
1;0;11;M;28;;*;;;;1;3;8;4;9;2;1
1;0;11;F;16;;*;*;;;;;1;3;7;5;
1;0;11;T;44;;*;;;;1;3;9;7;16;7;1
1;0;12;M;127;;*;;;;2;11;26;56;27;5;
1;0;12;F;21;;*;*;;;1;2;3;7;7;1;
1;0;12;T;148;;*;;;;3;13;29;63;34;6;
1;0;13;M;3;;*;;;1;;;1;1;;;
1;0;13;F;1;;*;*;;;;;;;1;;
1;0;13;T;4;;*;;;1;;;1;1;1;;
1;0;14;M;1;;*;;;;;;;1;;;
1;0;14;F;65;;*;*;;1;2;7;8;24;16;6;1
1;0;14;T;66;;*;;;1;2;7;8;25;16;6;1
1;0;15;M;0;;*;;;;;;;;;;
1;0;15;F;5;;*;*;;;;;4;;1;;
1;0;15;T;5;;*;;;;;;4;;1;;
1;0;16;M;0;;*;;;;;;;;;;
1;0;16;F;20;;*;*;;;;2;3;8;5;2;
1;0;16;T;20;;*;;;;;2;3;8;5;2;
1;0;17;M;0;;*;;;;;;;;;;
1;0;17;F;14;;*;*;;;1;5;3;4;1;;
1;0;17;T;14;;*;;;;1;5;3;4;1;;
1;0;18;M;50;;*;;;;;;1;8;28;13;
1;0;18;F;0;;*;*;;;;;;;;;
1;0;18;T;50;;*;;;;;;1;8;28;13;
1;0;19;M;6;;*;;;;;;1;5;;;
1;0;19;F;8;;*;*;;;1;1;2;1;2;1;
1;0;19;T;14;;*;;;;1;1;3;6;2;1;
1;0;20;M;25;;*;;;;;1;5;11;5;3;
1;0;20;F;8;;*;*;;;;;;3;1;3;1
1;0;20;T;33;;*;;;;;1;5;14;6;6;1
1;0;21;M;41;;*;;;1;2;5;6;8;13;5;
1;0;21;F;42;;*;*;;2;2;2;4;11;17;4;
1;0;21;T;83;;*;;;3;4;7;10;19;30;9;
1;0;22;M;93;;*;;;;1;5;15;32;35;5;
1;0;22;F;85;;*;*;1;;4;2;8;26;30;13;
1;0;22;T;178;;*;1;1;;5;7;23;58;65;18;
1;0;23;M;16;;*;1;;;;1;4;6;4;;
