ville;année;sexe;categorie;deces_categorie;deces_ville;pourcentage_ville
-1;0;T;0;6794;539327;0,0125972
-1;0;T;1;0;539327;0,00000
-1;0;T;2;127049;539327;0,235570
-1;0;T;3;15598;539327;0,0289212
-1;0;T;4;7151;539327;0,0132591
-1;0;T;5;12825;539327;0,0237796
-1;0;T;6;268529;539327;0,497896
-1;0;T;7;13049;539327;0,0241950
-1;0;T;8;4593;539327;0,00851617
-1;0;T;9;11049;539327;0,0204866
-1;0;T;10;28356;539327;0,0525766
-1;0;T;11;27744;539327;0,0514419
-1;0;F;0;3136;257215;0,0121921
-1;0;F;1;0;257215;0,00000
-1;0;F;2;51612;257215;0,200657
-1;0;F;3;9296;257215;0,0361410
-1;0;F;4;3307;257215;0,0128569
-1;0;F;5;6809;257215;0,0264720
-1;0;F;6;136039;257215;0,528892
-1;0;F;7;6803;257215;0,0264487
-1;0;F;8;2051;257215;0,00797387
-1;0;F;9;2932;257215;0,0113990
-1;0;F;10;13892;257215;0,0540093
-1;0;F;11;14290;257215;0,0555566
-1;0;M;0;3658;282112;0,0129665
-1;0;M;1;0;282112;0,00000
-1;0;M;2;75437;282112;0,267401
-1;0;M;3;6302;282112;0,0223386
-1;0;M;4;3844;282112;0,0136258
-1;0;M;5;6016;282112;0,0213249
-1;0;M;6;132490;282112;0,469636
-1;0;M;7;6246;282112;0,0221401
-1;0;M;8;2542;282112;0,00901061
-1;0;M;9;8117;282112;0,0287723
-1;0;M;10;14464;282112;0,0512704
-1;0;M;11;13454;282112;0,0476903
-1;1;T;0;6920;544421;0,0127108
-1;1;T;1;0;544421;0,00000
-1;1;T;2;128188;544421;0,235457
-1;1;T;3;15628;544421;0,0287057
-1;1;T;4;7972;544421;0,0146431
-1;1;T;5;11421;544421;0,0209783
-1;1;T;6;272515;544421;0,500559
-1;1;T;7;13266;544421;0,0243672
-1;1;T;8;4834;544421;0,00887916
-1;1;T;9;11122;544421;0,0204290
-1;1;T;10;27767;544421;0,0510028
-1;1;T;11;29112;544421;0,0534733
-1;1;F;0;3213;260722;0,0123235
-1;1;F;1;0;260722;0,00000
-1;1;F;2;51812;260722;0,198725
-1;1;F;3;9405;260722;0,0360729
-1;1;F;4;3829;260722;0,0146861
-1;1;F;5;6005;260722;0,0230322
-1;1;F;6;139129;260722;0,533630
-1;1;F;7;7003;260722;0,0268600
-1;1;F;8;2144;260722;0,00822332
-1;1;F;9;2959;260722;0,0113493
-1;1;F;10;13635;260722;0,0522971
-1;1;F;11;15053;260722;0,0577358
-1;1;M;0;3707;283699;0,0130667
-1;1;M;1;0;283699;0,00000
-1;1;M;2;76376;283699;0,269215
-1;1;M;3;6223;283699;0,0219352
-1;1;M;4;4143;283699;0,0146035
-1;1;M;5;5416;283699;0,0190907
-1;1;M;6;133386;283699;0,470167
-1;1;M;7;6263;283699;0,0220762
-1;1;M;8;2690;283699;0,00948188
-1;1;M;9;8163;283699;0,0287735
-1;1;M;10;14132;283699;0,0498134
-1;1;M;11;14059;283699;0,0495560
-1;2;T;0;7089;552140;0,0128391
-1;2;T;1;0;552140;0,00000
-1;2;T;2;130420;552140;0,236208
-1;2;T;3;15825;552140;0,0286612
-1;2;T;4;9493;552140;0,0171931
-1;2;T;5;11712;552140;0,0212120
-1;2;T;6;274193;552140;0,496600
-1;2;T;7;13023;552140;0,0235864
-1;2;T;8;4642;552140;0,00840729
-1;2;T;9;11081;552140;0,0200692
-1;2;T;10;27520;552140;0,0498424
-1;2;T;11;31145;552140;0,0564078
-1;2;F;0;3379;266293;0,0126890
-1;2;F;1;0;266293;0,00000
-1;2;F;2;52747;266293;0,198079
-1;2;F;3;9520;266293;0,0357501
-1;2;F;4;4836;266293;0,0181604
-1;2;F;5;6043;266293;0,0226930
-1;2;F;6;141126;266293;0,529965
-1;2;F;7;6991;266293;0,0262530
-1;2;F;8;2035;266293;0,00764196
-1;2;F;9;2962;266293;0,0111231
-1;2;F;10;13617;266293;0,0511354
-1;2;F;11;16350;266293;0,0613985
-1;2;M;0;3710;285847;0,0129790
-1;2;M;1;0;285847;0,00000
-1;2;M;2;77673;285847;0,271729
-1;2;M;3;6305;285847;0,0220573
-1;2;M;4;4657;285847;0,0162919
-1;2;M;5;5669;285847;0,0198323
-1;2;M;6;133067;285847;0,465518
-1;2;M;7;6032;285847;0,0211022
-1;2;M;8;2607;285847;0,00912026
-1;2;M;9;8119;285847;0,0284033
-1;2;M;10;13903;285847;0,0486379
-1;2;M;11;14795;285847;0,0517585
-1;3;T;0;6855;540364;0,0126859
-1;3;T;1;0;540364;0,00000
-1;3;T;2;130836;540364;0,242126
-1;3;T;3;15367;540364;0,0284382
-1;3;T;4;10077;540364;0,0186485
-1;3;T;5;11174;540364;0,0206787
-1;3;T;6;262814;540364;0,486365
-1;3;T;7;12783;540364;0,0236563
-1;3;T;8;4352;540364;0,00805383
-1;3;T;9;11076;540364;0,0204973
-1;3;T;10;26871;540364;0,0497276
-1;3;T;11;32292;540364;0,0597597
-1;3;F;0;3395;259461;0,0130848
-1;3;F;1;0;259461;0,00000
-1;3;F;2;52742;259461;0,203275
-1;3;F;3;9199;259461;0,0354543
-1;3;F;4;5268;259461;0,0203036
-1;3;F;5;5708;259461;0,0219995
-1;3;F;6;134962;259461;0,520163
-1;3;F;7;6898;259461;0,0265859
-1;3;F;8;2010;259461;0,00774683
-1;3;F;9;2905;259461;0,0111963
-1;3;F;10;13227;259461;0,0509788
-1;3;F;11;16510;259461;0,0636319
