ville;année;sexe;categorie;maladie;deces_maladie;deces_categorie;pourcentage_categorie;pourcentage_ville
-1;0;T;0;0;2060;6794;0,303;0,00381958
-1;0;T;0;1;112;6794;0,0165;0,000207666
-1;0;T;0;3;335;6794;0,0493;0,000621145
-1;0;T;0;4;4287;6794;0,631;0,00794880
-1;0;T;1;2;0;0;NaN;0,00000
-1;0;T;2;5;5595;127049;0,0440;0,0103740
-1;0;T;2;6;5426;127049;0,0427;0,0100607
-1;0;T;2;7;8997;127049;0,0708;0,0166819
-1;0;T;2;8;9582;127049;0,0754;0,0177666
-1;0;T;2;9;4973;127049;0,0391;0,00922075
-1;0;T;2;10;4004;127049;0,0315;0,00742407
-1;0;T;2;11;4572;127049;0,0360;0,00847723
-1;0;T;2;12;20788;127049;0,164;0,0385443
-1;0;T;2;13;656;127049;0,00516;0,00121633
-1;0;T;2;14;8589;127049;0,0676;0,0159254
-1;0;T;2;15;820;127049;0,00645;0,00152041
-1;0;T;2;16;2936;127049;0,0231;0,00544382
-1;0;T;2;17;2318;127049;0,0182;0,00429795
-1;0;T;2;18;6570;127049;0,0517;0,0121818
-1;0;T;2;19;2129;127049;0,0168;0,00394751
-1;0;T;2;20;3629;127049;0,0286;0,00672876
-1;0;T;2;21;7889;127049;0,0621;0,0146275
-1;0;T;2;22;23386;127049;0,184;0,0433614
-1;0;T;2;23;4190;127049;0,0330;0,00776894
-1;0;T;3;24;2292;15598;0,147;0,00424974
-1;0;T;3;25;7098;15598;0,455;0,0131608
-1;0;T;3;26;6208;15598;0,398;0,0115106
-1;0;T;4;27;3365;7151;0,471;0,00623926
-1;0;T;4;28;33;7151;0,00461;6,11874e-05
-1;0;T;4;29;3753;7151;0,525;0,00695867
-1;0;T;5;30;475;12825;0,0370;0,000880727
-1;0;T;5;31;12350;12825;0,963;0,0228989
-1;0;T;6;32;49267;268529;0,183;0,0913490
-1;0;T;6;33;54107;268529;0,201;0,100323
-1;0;T;6;34;66115;268529;0,246;0,122588
-1;0;T;6;35;31053;268529;0,116;0,0575773
-1;0;T;6;36;1061;268529;0,00395;0,00196727
-1;0;T;6;37;5128;268529;0,0191;0,00950815
-1;0;T;6;38;1498;268529;0,00558;0,00277754
-1;0;T;6;39;9690;268529;0,0361;0,0179668
-1;0;T;6;40;14346;268529;0,0534;0,0265998
-1;0;T;6;41;2206;268529;0,00822;0,00409028
