ville;année;sexe;categorie;maladie;deces_maladie;deces_categorie;pourcentage_categorie;pourcentage_ville
0;0;T;0;0;100;359;0,279;0,00418323
0;0;T;0;1;4;359;0,0111;0,000167329
0;0;T;0;3;20;359;0,0557;0,000836645
0;0;T;0;4;235;359;0,655;0,00983058
0;0;T;1;2;0;0;NaN;0,00000
0;0;T;2;5;274;6461;0,0424;0,0114620
0;0;T;2;6;193;6461;0,0299;0,00807362
0;0;T;2;7;394;6461;0,0610;0,0164819
0;0;T;2;8;517;6461;0,0800;0,0216273
0;0;T;2;9;260;6461;0,0402;0,0108764
0;0;T;2;10;190;6461;0,0294;0,00794813
0;0;T;2;11;218;6461;0,0337;0,00911943
0;0;T;2;12;1069;6461;0,165;0,0447187
0;0;T;2;13;38;6461;0,00588;0,00158963
0;0;T;2;14;514;6461;0,0796;0,0215018
0;0;T;2;15;37;6461;0,00573;0,00154779
0;0;T;2;16;181;6461;0,0280;0,00757164
0;0;T;2;17;117;6461;0,0181;0,00489437
0;0;T;2;18;318;6461;0,0492;0,0133027
0;0;T;2;19;95;6461;0,0147;0,00397406
0;0;T;2;20;200;6461;0,0310;0,00836645
0;0;T;2;21;367;6461;0,0568;0,0153524
0;0;T;2;22;1216;6461;0,188;0,0508680
0;0;T;2;23;263;6461;0,0407;0,0110019
0;0;T;3;24;110;613;0,179;0,00460155
0;0;T;3;25;208;613;0,339;0,00870111
0;0;T;3;26;295;613;0,481;0,0123405
0;0;T;4;27;68;235;0,289;0,00284459
0;0;T;4;28;1;235;0,00426;4,18323e-05
0;0;T;4;29;166;235;0,706;0,00694415
0;0;T;5;30;24;543;0,0442;0,00100397
0;0;T;5;31;519;543;0,956;0,0217109
0;0;T;6;32;2113;10868;0,194;0,0883915
0;0;T;6;33;2280;10868;0,210;0,0953775
0;0;T;6;34;2338;10868;0,215;0,0978038
0;0;T;6;35;1309;10868;0,120;0,0547584
0;0;T;6;36;34;10868;0,00313;0,00142230
0;0;T;6;37;230;10868;0,0212;0,00962142
0;0;T;6;38;70;10868;0,00644;0,00292826
0;0;T;6;39;411;10868;0,0378;0,0171931
0;0;T;6;40;586;10868;0,0539;0,0245137
0;0;T;6;41;102;10868;0,00939;0,00426689
0;0;T;6;42;614;10868;0,0565;0,0256850
0;0;T;6;43;781;10868;0,0719;0,0326710
0;0;T;7;44;98;594;0,165;0,00409956
0;0;T;7;45;34;594;0,0572;0,00142230
0;0;T;7;46;50;594;0,0842;0,00209161
0;0;T;7;47;281;594;0,473;0,0117549
0;0;T;7;48;131;594;0,221;0,00548003
0;0;T;8;49;4;151;0,0265;0,000167329
0;0;T;8;50;69;151;0,457;0,00288643
0;0;T;8;51;10;151;0,0662;0,000418323
0;0;T;8;52;39;151;0,258;0,00163146
0;0;T;8;53;29;151;0,192;0,00121314
0;0;T;9;57;260;260;1,00;0,0108764
0;0;T;10;58;526;1089;0,483;0,0220038
0;0;T;10;59;18;1089;0,0165;0,000752981
0;0;T;10;60;404;1089;0,371;0,0169002
0;0;T;10;63;99;1089;0,0909;0,00414139
0;0;T;10;64;42;1089;0,0386;0,00175695
0;0;T;11;56;682;972;0,702;0,0285296
0;0;T;11;61;261;972;0,269;0,0109182
0;0;T;11;62;29;972;0,0298;0,00121314
0;0;F;0;0;34;179;0,190;0,00276355
0;0;F;0;1;1;179;0,00559;8,12810e-05
0;0;F;0;3;12;179;0,0670;0,000975372
0;0;F;0;4;132;179;0,737;0,0107291
0;0;F;1;2;0;0;NaN;0,00000
0;0;F;2;5;45;2990;0,0151;0,00365764
0;0;F;2;6;38;2990;0,0127;0,00308868
0;0;F;2;7;199;2990;0,0666;0,0161749
0;0;F;2;8;293;2990;0,0980;0,0238153
0;0;F;2;9;158;2990;0,0528;0,0128424
0;0;F;2;10;73;2990;0,0244;0,00593351
0;0;F;2;11;93;2990;0,0311;0,00755913
0;0;F;2;12;183;2990;0,0612;0,0148744
0;0;F;2;13;20;2990;0,00669;0,00162562
0;0;F;2;14;504;2990;0,169;0,0409656
0;0;F;2;15;37;2990;0,0124;0,00300740
0;0;F;2;16;181;2990;0,0605;0,0147119
0;0;F;2;17;117;2990;0,0391;0,00950988
0;0;F;2;18;0;2990;0,00;0,00000
0;0;F;2;19;39;2990;0,0130;0,00316996
0;0;F;2;20;55;2990;0,0184;0,00447045
0;0;F;2;21;184;2990;0,0615;0,0149557
0;0;F;2;22;637;2990;0,213;0,0517760
0;0;F;2;23;134;2990;0,0448;0,0108917
0;0;F;3;24;60;369;0,163;0,00487686
0;0;F;3;25;115;369;0,312;0,00934731
0;0;F;3;26;194;369;0,526;0,0157685
0;0;F;4;27;25;141;0,177;0,00203202
0;0;F;4;28;0;141;0,00;0,00000
0;0;F;4;29;116;141;0,823;0,00942859
0;0;F;5;30;13;301;0,0432;0,00105665
0;0;F;5;31;288;301;0,957;0,0234089
0;0;F;6;32;924;5891;0,157;0,0751036
0;0;F;6;33;1358;5891;0,231;0,110380
0;0;F;6;34;1415;5891;0,240;0,115013
0;0;F;6;35;757;5891;0,129;0,0615297
0;0;F;6;36;19;5891;0,00323;0,00154434
0;0;F;6;37;140;5891;0,0238;0,0113793
0;0;F;6;38;38;5891;0,00645;0,00308868
0;0;F;6;39;162;5891;0,0275;0,0131675
0;0;F;6;40;308;5891;0,0523;0,0250345
0;0;F;6;41;45;5891;0,00764;0,00365764
0;0;F;6;42;264;5891;0,0448;0,0214582
0;0;F;6;43;461;5891;0,0783;0,0374705
0;0;F;7;44;68;318;0,214;0,00552711
0;0;F;7;45;28;318;0,0881;0,00227587
0;0;F;7;46;38;318;0,119;0,00308868
0;0;F;7;47;143;318;0,450;0,0116232
0;0;F;7;48;41;318;0,129;0,00333252
0;0;F;8;49;4;71;0,0563;0,000325124
