ville;année;sexe;categorie;deces_categorie;deces_ville;pourcentage_ville
0;0;T;0;359;23905;0,0150178
0;0;T;1;0;23905;0,00000
0;0;T;2;6461;23905;0,270278
0;0;T;3;613;23905;0,0256432
0;0;T;4;235;23905;0,00983058
0;0;T;5;543;23905;0,0227149
0;0;T;6;10868;23905;0,454633
0;0;T;7;594;23905;0,0248484
0;0;T;8;151;23905;0,00631667
0;0;T;9;260;23905;0,0108764
0;0;T;10;1089;23905;0,0455553
0;0;T;11;972;23905;0,0406609
0;0;F;0;179;12303;0,0145493
0;0;F;1;0;12303;0,00000
0;0;F;2;2990;12303;0,243030
0;0;F;3;369;12303;0,0299927
0;0;F;4;141;12303;0,0114606
0;0;F;5;301;12303;0,0244656
0;0;F;6;5891;12303;0,478826
0;0;F;7;318;12303;0,0258474
0;0;F;8;71;12303;0,00577095
0;0;F;9;98;12303;0,00796554
0;0;F;10;628;12303;0,0510445
0;0;F;11;546;12303;0,0443794
0;0;M;0;180;11602;0,0155146
0;0;M;1;0;11602;0,00000
0;0;M;2;3471;11602;0,299173
0;0;M;3;244;11602;0,0210309
0;0;M;4;94;11602;0,00810205
0;0;M;5;242;11602;0,0208585
0;0;M;6;4977;11602;0,428978
0;0;M;7;276;11602;0,0237890
0;0;M;8;80;11602;0,00689536
0;0;M;9;162;11602;0,0139631
0;0;M;10;461;11602;0,0397345
0;0;M;11;426;11602;0,0367178
0;1;T;0;379;23908;0,0158524
0;1;T;1;0;23908;0,00000
0;1;T;2;6210;23908;0,259746
0;1;T;3;587;23908;0,0245525
0;1;T;4;280;23908;0,0117116
0;1;T;5;535;23908;0,0223774
0;1;T;6;11027;23908;0,461226
0;1;T;7;609;23908;0,0254726
0;1;T;8;175;23908;0,00731973
0;1;T;9;251;23908;0,0104986
0;1;T;10;1064;23908;0,0445039
0;1;T;11;1021;23908;0,0427054
0;1;F;0;193;12489;0,0154536
0;1;F;1;0;12489;0,00000
0;1;F;2;2897;12489;0,231964
0;1;F;3;364;12489;0,0291456
0;1;F;4;182;12489;0,0145728
0;1;F;5;292;12489;0,0233806
0;1;F;6;6109;12489;0,489150
0;1;F;7;330;12489;0,0264233
0;1;F;8;76;12489;0,00608536
0;1;F;9;90;12489;0,00720634
0;1;F;10;622;12489;0,0498038
0;1;F;11;614;12489;0,0491633
0;1;M;0;186;11419;0,0162886
0;1;M;1;0;11419;0,00000
0;1;M;2;3313;11419;0,290130
0;1;M;3;223;11419;0,0195289
0;1;M;4;98;11419;0,00858219
0;1;M;5;243;11419;0,0212803
0;1;M;6;4918;11419;0,430686
0;1;M;7;279;11419;0,0244330
0;1;M;8;99;11419;0,00866976
0;1;M;9;161;11419;0,0140993
0;1;M;10;442;11419;0,0387074
0;1;M;11;407;11419;0,0356424
0;2;T;0;375;23742;0,0157948
0;2;T;1;0;23742;0,00000
0;2;T;2;6328;23742;0,266532
0;2;T;3;626;23742;0,0263668
0;2;T;4;328;23742;0,0138152
0;2;T;5;511;23742;0,0215230
0;2;T;6;10733;23742;0,452068
0;2;T;7;563;23742;0,0237133
0;2;T;8;160;23742;0,00673911
0;2;T;9;250;23742;0,0105299
0;2;T;10;1107;23742;0,0466262
0;2;T;11;940;23742;0,0395923
0;2;F;0;194;12527;0,0154865
0;2;F;1;0;12527;0,00000
0;2;F;2;3013;12527;0,240520
0;2;F;3;364;12527;0,0290572
0;2;F;4;211;12527;0,0168436
0;2;F;5;285;12527;0,0227509
0;2;F;6;6011;12527;0,479844
0;2;F;7;333;12527;0,0265826
0;2;F;8;73;12527;0,00582741
0;2;F;9;106;12527;0,00846172
0;2;F;10;653;12527;0,0521274
0;2;F;11;531;12527;0,0423884
0;2;M;0;181;11215;0,0161391
0;2;M;1;0;11215;0,00000
