Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
-1;0;T;539327;10448;7501;1561;2383;8375;9237;13194;36221;52305;119673;177460;100969
-1;0;F;257215;8196;3174;632;937;2150;2628;4074;10463;16088;44471;93368;71034
-1;0;M;282112;2252;4327;929;1446;6225;6609;9120;25758;36217;75202;84092;29935
-1;1;T;544421;11462;7905;1629;2337;8518;9502;12953;35551;53933;114893;181701;104037
-1;1;F;260722;9069;3229;707;900;2180;2785;4046;10280;16375;42625;94833;73693
-1;1;M;283699;2393;4676;922;1437;6338;6717;8907;25271;37558;72268;86868;30344
-1;2;T;552140;12202;7722;1630;2222;8004;9492;12849;34412;57620;109058;186386;110543
-1;2;F;266293;9728;3154;706;888;2120;2739;4046;9726;17460;40811;96880;78035
-1;2;M;285847;2474;4568;924;1334;5884;6753;8803;24686;40160;68247;89506;32508
-1;3;T;540364;11841;7461;1472;2052;7971;9513;13177;33455;60604;101563;181652;109603
-1;3;F;259461;9419;3115;627;825;2032;2757;4052;9460;18137;38276;93946;76815
-1;3;M;280903;2422;4346;845;1227;5939;6756;9125;23995;42467;63287;87706;32788
-1;4;T;557092;13166;6760;1612;2026;7819;9791;13540;32874;63722;97733;189880;118169
-1;4;F;269876;10516;2846;712;793;2028;2845;4176;9431;19148;36647;98047;82687
-1;4;M;287216;2650;3914;900;1233;5791;6946;9364;23443;44574;61086;91833;35482
-1;5;T;539816;10855;6215;1421;1977;7776;9821;14027;32832;66529;95080;184252;109031
-1;5;F;259088;8751;2673;587;763;1989;2854;4280;9312;19586;36060;95859;76374
-1;5;M;280728;2104;3542;834;1214;5787;6967;9747;23520;46943;59020;88393;32657
-1;6;T;549751;11791;6308;1318;1880;7320;9482;14329;31931;66979;93427;188833;116153
-1;6;F;264649;9573;2617;594;736;1921;2735;4305;9044;19680;35157;97646;80641
-1;6;M;285102;2218;3691;724;1144;5399;6747;10024;22887;47299;58270;91187;35512
-1;7;T;544118;12049;6180;1273;1817;7203;9353;15162;30394;65542;91308;185431;118406
-1;7;F;262190;9828;2622;554;709;1878;2598;4531;8629;19298;33815;95778;81950
-1;7;M;281928;2221;3558;719;1108;5325;6755;10631;21765;46244;57493;89653;36456
-1;8;T;525079;12136;5952;1199;1720;6638;9276;15567;28677;62881;88015;176201;116817
-1;8;F;251258;9898;2422;514;683;1689;2539;4696;8267;18322;32128;90346;79754
-1;8;M;273821;2238;3530;685;1037;4949;6737;10871;20410;44559;55887;85855;37063
-1;9;T;521980;12827;5982;1207;1557;6859;9349;16160;27508;61579;84449;173613;120890
-1;9;F;251186;10524;2481;512;619;1702;2570;4879;8070;17890;30834;88775;82330
-1;9;M;270794;2303;3501;695;938;5157;6779;11281;19438;43689;53615;84838;38560
-1;10;T;526492;14083;5702;1178;1570;6899;9742;16754;26882;60754;82473;172883;127572
-1;10;F;254064;11583;2361;522;650;1706;2590;5025;7750;17675;29382;87946;86874
-1;10;M;272428;2500;3341;656;920;5193;7152;11729;19132;43079;53091;84937;40698
-1;11;T;523569;14795;5529;1116;1393;6708;9952;17338;25832;58753;81552;169390;131211
-1;11;F;252614;12198;2280;449;576;1594;2603;4993;7466;17094;28772;86056;88533
-1;11;M;270955;2597;3249;667;817;5114;7349;12345;18366;41659;52780;83334;42678
