Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
0;0;T;23905;4819;592;255;52;49;253;527;599;1556;2313;5101;7789
0;0;F;12303;3396;471;121;27;13;78;179;182;522;805;2190;4319
0;0;M;11602;1423;121;134;25;36;175;348;417;1034;1508;2911;3470
0;1;T;23908;4900;628;295;46;61;273;563;658;1490;2351;4830;7813
0;1;F;12489;3533;519;116;22;19;93;190;236;550;861;2084;4266
0;1;M;11419;1367;109;179;24;42;180;373;422;940;1490;2746;3547
0;2;T;23742;5198;634;307;49;50;260;532;650;1454;2274;4486;7848
0;2;F;12527;3705;482;129;22;18;95;167;212;469;829;1977;4422
0;2;M;11215;1493;152;178;27;32;165;365;438;985;1445;2509;3426
0;3;T;23326;5118;708;271;53;46;241;595;611;1390;2482;4162;7649
0;3;F;12394;3620;583;118;29;24;89;192;228;449;918;1885;4259
0;3;M;10932;1498;125;153;24;22;152;403;383;941;1564;2277;3390
0;4;T;23662;5468;728;284;41;39;294;564;662;1327;2487;3817;7951
0;4;F;12614;3883;578;119;21;16;97;207;219;434;945;1649;4446
0;4;M;11048;1585;150;165;20;23;197;357;443;893;1542;2168;3505
0;5;T;22498;4978;564;258;46;51;272;556;672;1304;2517;3745;7535
0;5;F;11974;3524;448;107;19;28;82;168;229;440;976;1702;4251
0;5;M;10524;1454;116;151;27;23;190;388;443;864;1541;2043;3284
0;6;T;22881;5375;655;269;46;46;251;559;730;1256;2484;3501;7709
0;6;F;12077;3786;523;100;19;25;77;198;235;412;849;1541;4312
0;6;M;10804;1589;132;169;27;21;174;361;495;844;1635;1960;3397
0;7;T;22413;5380;647;235;40;31;232;587;784;1223;2329;3478;7447
0;7;F;11850;3818;540;91;22;13;84;170;248;401;843;1532;4088
0;7;M;10563;1562;107;144;18;18;148;417;536;822;1486;1946;3359
0;8;T;21172;5157;646;272;37;45;207;508;826;1197;2251;3184;6842
0;8;F;10967;3506;515;113;13;17;69;145;250;384;815;1416;3724
0;8;M;10205;1651;131;159;24;28;138;363;576;813;1436;1768;3118
0;9;T;20982;5233;731;234;36;39;209;565;806;1195;2199;3084;6651
0;9;F;11001;3593;600;104;12;17;69;146;243;363;752;1364;3738
0;9;M;9981;1640;131;130;24;22;140;419;563;832;1447;1720;2913
0;10;T;20706;5431;745;231;35;39;216;659;875;1121;2096;2728;6530
0;10;F;10823;3740;600;91;14;20;78;153;242;353;729;1192;3611
0;10;M;9883;1691;145;140;21;19;138;506;633;768;1367;1536;2919
0;11;T;19718;5142;690;233;38;45;194;684;968;1139;1947;2603;6035
0;11;F;10235;3516;565;103;12;18;60;168;250;336;707;1143;3357
0;11;M;9483;1626;125;130;26;27;134;516;718;803;1240;1460;2678
0;12;T;20095;5331;749;253;45;36;188;730;1058;1172;1940;2790;5803
0;12;F;10172;3631;604;98;17;17;54;180;241;349;643;1183;3155
0;12;M;9923;1700;145;155;28;19;134;550;817;823;1297;1607;2648
0;13;T;19570;5312;764;236;35;32;180;775;1036;1198;1844;2871;5287
0;13;F;9880;3570;600;112;16;19;47;177;232;367;620;1265;2855
0;13;M;9690;1742;164;124;19;13;133;598;804;831;1224;1606;2432
0;14;T;19568;5512;888;199;31;38;167;777;976;1242;1782;2828;5128
0;14;F;10130;3710;727;95;12;13;53;190;229;389;624;1224;2864
0;14;M;9438;1802;161;104;19;25;114;587;747;853;1158;1604;2264
0;15;T;18861;5360;809;181;22;40;150;751;953;1314;1700;2926;4655
0;15;F;9500;3584;665;66;9;20;41;195;215;382;562;1272;2489
0;15;M;9361;1776;144;115;13;20;109;556;738;932;1138;1654;2166
0;16;T;18487;5496;900;119;32;23;126;653;880;1229;1697;2894;4438
0;16;F;9569;3682;734;49;13;0;38;177;231;380;553;1266;2446
0;16;M;8912;1814;166;70;19;17;88;476;649;849;1144;1628;1992
0;17;T;18325;5591;909;136;25;19;134;533;834;1252;1578;2875;4439
0;17;F;9510;3695;720;54;13;10;53;158;229;401;517;1231;2429
0;17;M;8815;1896;189;82;12;9;81;375;605;851;1061;1644;2010
0;18;T;17031;5385;991;167;26;28;101;352;664;1142;1486;2596;4093
0;18;F;9140;3650;800;69;13;10;32;113;202;395;530;1138;2188
0;18;M;7891;1735;191;98;13;18;69;239;462;747;956;1458;1905
0;19;T;16843;5339;989;156;16;29;126;338;555;1134;1410;2605;4146
0;19;F;8979;3552;782;79;0;15;41;109;180;403;508;1098;2212
0;19;M;7858;1787;207;77;10;14;85;229;375;731;902;1507;1934
0;20;T;16643;5382;1040;154;19;27;118;274;512;1130;1403;2609;3975
0;20;F;8780;3514;823;65;10;9;38;92;174;403;497;1047;2108
0;20;M;7863;1868;217;89;9;18;80;182;338;727;906;1562;1867
0;21;T;16022;5112;985;136;24;21;103;319;573;1088;1414;2397;3850
0;21;F;8491;3403;783;63;12;14;44;119;178;380;464;1027;2004
0;21;M;7531;1709;202;73;12;7;59;200;395;708;950;1370;1846
0;22;T;16146;4928;1171;151;24;31;117;315;548;1127;1425;2362;3947
0;22;F;8579;3292;937;68;9;11;36;102;184;383;516;992;2049
0;22;M;7567;1636;234;83;15;20;81;213;364;744;909;1370;1898
0;23;T;15658;4628;1173;132;21;32;96;277;554;1054;1524;2201;3966
0;23;F;8306;3055;935;55;10;17;34;94;170;363;519;927;2127
0;23;M;7352;1573;238;77;11;15;62;183;384;691;1005;1274;1839
0;24;T;16685;4916;1298;113;29;25;103;234;545;1025;1588;2298;4511
0;24;F;8992;3294;1032;53;13;12;40;80;167;346;552;965;2438
0;24;M;7693;1622;266;60;16;13;63;154;378;679;1036;1333;2073
0;25;T;14280;3702;1115;133;24;21;80;241;473;997;1499;1988;4007
0;25;F;7479;2501;875;55;8;9;34;79;151;345;547;800;2075
0;25;M;6801;1201;240;78;16;12;46;162;322;652;952;1188;1932
0;26;T;14664;3939;1200;121;39;28;97;263;421;946;1540;2025;4045
0;26;F;7565;2540;939;62;23;11;35;91;139;294;543;802;2086
0;26;M;7099;1399;261;59;16;17;62;172;282;652;997;1223;1959
0;27;T;14115;3761;1189;113;14;13;77;207;433;943;1612;1983;3770
0;27;F;7371;2472;913;42;8;0;18;56;139;329;582;857;1955
0;27;M;6734;1289;276;71;0;9;59;151;294;614;1030;1126;1815
0;28;T;14040;4001;1276;106;19;13;75;187;422;887;1549;1813;3692
0;28;F;7240;2467;989;46;9;7;35;62;155;332;555;700;1883
0;28;M;6794;1534;287;60;10;0;40;125;267;555;994;1113;1809
0;29;T;14141;3998;1326;117;22;22;72;166;383;900;1601;1877;3657
0;29;F;7339;2557;1021;52;9;15;20;61;125;312;579;761;1827
0;29;M;6802;1441;305;65;13;7;52;105;258;588;1022;1116;1830
0;30;T;13922;4084;1395;94;19;18;74;177;381;794;1516;1879;3491
